Date,NIFTY Bank index,NIFTY FMCG index,NIFTY IT index,NIFTY Pharma index
2020-06-22,21708.35,28865.45,14463.65,10218.35
2020-06-23,22264.9,29355.2,14680.4,10360.8
2020-06-24,21426.8,29487.4,14581.45,10110.5
2020-06-25,21506.15,30113.25,14411.2,10193.15
2020-06-26,21592.05,29757.05,14994.65,10137.85
2020-06-29,21359.0,29971.65,14768.0,10135.9
2020-06-30,21370.15,30063.25,14754.3,9985.15
2020-07-01,21977.6,30232.5,14732.1,9882.85
2020-07-02,21953.2,30316.2,15122.55,9943.65
2020-07-03,21852.4,30529.1,15285.9,9963.4
2020-07-06,22198.95,30647.65,15464.95,9901.25
2020-07-07,22628.0,30518.2,15784.95,9878.0
2020-07-08,22584.65,30773.9,15513.65,9948.5
2020-07-09,22907.2,30671.75,15535.95,9987.55
2020-07-10,22398.45,30821.15,15565.2,10072.25
2020-07-13,22089.25,31214.9,15819.2,10106.6
2020-07-14,21392.2,30932.85,15640.55,10155.05
2020-07-15,21340.75,31140.45,16459.8,10210.75
2020-07-16,21597.15,31182.35,16926.05,10382.3
2020-07-17,21966.8,31439.3,16821.35,10472.15
2020-07-20,22321.85,31536.35,17258.3,10304.6
2020-07-21,22782.0,31280.25,17273.2,10153.8
2020-07-22,22882.6,31051.6,17076.05,10175.2
2020-07-23,23083.9,31101.9,17045.2,10322.15
2020-07-24,22662.05,31018.85,17286.0,10237.95
2020-07-27,21848.75,30819.75,17626.75,10062.05
